SN    USVID    CurTime    simTime    AVOID_Dis    OBS_X    OBS_Y    OBS_R     OBS_V      OBS_Yaw   
326  208  2025-06-05 20-36-20  14720  2238.53  143632  0  1872  0  0
327  208  2025-06-05 20-36-20  14721.6  2227.89  143632  0  1872  0  0
328  208  2025-06-05 20-36-20  14723.2  2217.35  143632  0  1872  0  0
329  208  2025-06-05 20-36-20  14724.8  2206.91  143632  0  1872  0  0
330  208  2025-06-05 20-36-20  14726.4  2196.56  143632  0  1872  0  0
331  208  2025-06-05 20-36-20  14728  2186.33  143632  0  1872  0  0
332  208  2025-06-05 20-36-20  14729.6  2176.2  143632  0  1872  0  0
333  208  2025-06-05 20-36-20  14731.2  2166.18  143632  0  1872  0  0
334  208  2025-06-05 20-36-20  14732.8  2156.28  143632  0  1872  0  0
335  208  2025-06-05 20-36-20  14734.4  2146.49  143632  0  1872  0  0
336  208  2025-06-05 20-36-20  14736  2136.83  143632  0  1872  0  0
337  208  2025-06-05 20-36-20  14737.6  2127.3  143632  0  1872  0  0
338  208  2025-06-05 20-36-20  14739.2  2117.89  143632  0  1872  0  0
339  208  2025-06-05 20-36-20  14740.8  2108.62  143632  0  1872  0  0
340  208  2025-06-05 20-36-20  14742.4  2099.49  143632  0  1872  0  0
341  208  2025-06-05 20-36-20  14744  2090.51  143632  0  1872  0  0
342  208  2025-06-05 20-36-20  14745.6  2081.67  143632  0  1872  0  0
343  208  2025-06-05 20-36-20  14747.2  2072.98  143632  0  1872  0  0
344  208  2025-06-05 20-36-20  14748.8  2064.45  143632  0  1872  0  0
345  208  2025-06-05 20-36-20  14750.4  2056.08  143632  0  1872  0  0
346  208  2025-06-05 20-36-20  14752  2047.88  143632  0  1872  0  0
347  208  2025-06-05 20-36-20  14753.6  2039.85  143632  0  1872  0  0
348  208  2025-06-05 20-36-20  14755.2  2032  143632  0  1872  0  0
349  208  2025-06-05 20-36-20  14756.8  2024.33  143632  0  1872  0  0
350  208  2025-06-05 20-36-20  14758.4  2016.84  143632  0  1872  0  0
351  208  2025-06-05 20-36-20  14760  2009.55  143632  0  1872  0  0
352  208  2025-06-05 20-36-20  14761.6  2002.46  143632  0  1872  0  0
