Step,id,x,y,Vel,Yaw
76,5,294.01,-106.276,12.4827,61.4379
76,6,373.34,4.49065e-15,12.217,90
76,7,561.599,0,8,90
77,1,74.8987,4.58607e-15,12.528,90
77,2,137.155,114.877,10.3475,111.532
77,3,137.078,-114.906,10.1839,68.4678
77,4,295.109,105.674,12.528,118.726
77,5,295.109,-105.674,12.528,61.2736
77,6,374.565,4.56563e-15,12.2459,90
77,7,562.399,0,8,90
78,1,76.1559,4.66305e-15,12.5724,90
78,2,138.121,114.491,10.3997,111.773
78,3,138.027,-114.527,10.2126,68.2268
78,4,296.209,105.067,12.5724,118.886
78,5,296.209,-105.067,12.5724,61.114
78,6,375.792,4.64078e-15,12.2736,90
78,7,563.199,0,8,90
79,1,77.4175,4.7403e-15,12.6161,90
79,2,139.09,114.099,10.4519,112.015
79,3,138.976,-114.143,10.2396,67.9848
79,4,297.312,104.454,12.6161,119.041
79,5,297.312,-104.454,12.6161,60.9591
79,6,377.022,4.7161e-15,12.3,90
79,7,563.999,0,8,90
80,1,78.6834,4.81781e-15,12.659,90
80,2,140.063,113.698,10.5337,112.397
80,3,139.931,-113.75,10.3252,67.6028
80,4,298.418,103.837,12.659,119.191
80,5,298.418,-103.837,12.659,60.8088
80,6,378.255,4.79156e-15,12.3251,90
80,7,564.799,0,8,90
81,1,79.9535,4.89558e-15,12.7011,90
81,2,141.042,113.287,10.614,112.774
81,3,140.89,-113.347,10.4093,67.2265
81,4,299.525,103.215,12.7011,119.337
81,5,299.525,-103.215,12.7011,60.663
81,6,379.49,4.86718e-15,12.349,90
81,7,565.599,0,8,90
82,1,81.2278,4.9736e-15,12.7424,90
82,2,142.025,112.867,10.6929,113.144
82,3,141.855,-112.934,10.4919,66.8561
82,4,300.634,102.588,12.7424,119.478
82,5,300.634,-102.588,12.7424,60.5218
82,6,380.727,4.94293e-15,12.3717,90
82,7,566.399,0,8,90
83,1,82.5061,5.05187e-15,12.783,90
83,2,143.013,112.437,10.7704,113.509
83,3,142.825,-112.513,10.573,66.4914
83,4,301.744,101.956,12.7748,119.661
83,5,301.744,-101.956,12.7748,60.339
83,6,381.966,5.01881e-15,12.3932,90
83,7,567.199,0,8,90
84,1,83.7884,5.13039e-15,12.8229,90
84,2,144.005,111.998,10.8464,113.868
84,3,143.799,-112.082,10.6526,66.1324
84,4,302.859,101.324,12.8144,119.541
84,5,302.859,-101.324,12.8144,60.4591
84,6,383.208,5.09482e-15,12.4135,90
84,7,567.999,0,8,90
85,1,85.0746,5.20914e-15,12.8621,90
85,2,145.001,111.55,10.9211,114.221
85,3,144.778,-111.641,10.7308,65.7791
85,4,303.978,100.692,12.8521,119.418
85,5,303.978,-100.692,12.8521,60.5822
85,6,384.451,5.17095e-15,12.4327,90
85,7,568.799,0,8,90
86,1,86.3646,5.28813e-15,12.9005,90
86,2,146.001,111.093,10.9945,114.569
86,3,145.76,-111.192,10.8076,65.4315
86,4,305.103,100.062,12.8899,119.292
86,5,305.103,-100.062,12.8899,60.7083
86,6,385.696,5.24718e-15,12.4507,90
86,7,569.599,0,8,90
87,1,87.6585,5.36736e-15,12.9383,90
87,2,147.004,110.627,11.0665,114.911
87,3,146.747,-110.734,10.883,65.0895
87,4,306.232,99.4319,12.9277,119.163
87,5,306.232,-99.4319,12.9277,60.8375
87,6,386.943,5.32352e-15,12.4676,90
87,7,570.399,0,8,90
88,1,88.956,5.4468e-15,12.9754,90
88,2,148.012,110.152,11.1373,115.248
88,3,147.739,-110.266,10.957,64.7531
88,4,307.365,98.8028,12.9637,119.03
88,5,307.365,-98.8028,12.9637,60.9696
88,6,388.191,5.39996e-15,12.4834,90
88,7,571.199,0,8,90
89,1,90.2572,5.52648e-15,13.0118,90
89,2,149.023,109.668,11.2068,115.579
89,3,148.733,-109.79,11.0298,64.4223
89,4,308.503,98.1746,12.9996,118.895
89,5,308.503,-98.1746,12.9996,61.1047
89,6,389.441,5.47649e-15,12.4981,90
89,7,571.999,0,8,90
90,1,91.5619,5.60637e-15,13.0475,90
90,2,150.037,109.175,11.275,115.904
90,3,149.732,-109.305,11.1012,64.097
90,4,309.646,97.5475,13.0356,118.757
90,5,309.646,-97.5475,13.0356,61.2429
90,6,390.692,5.5531e-15,12.5118,90
90,7,572.799,0,8,90
91,1,92.8702,5.68647e-15,13.0827,90
91,2,151.054,108.674,11.342,116.224
